Happiness Rank,Family,Country,Region,Standard Error,Happiness Score,Generosity,Health (Life Expectancy),Trust (Government Corruption),Freedom,Dystopia Residual,Economy (GDP per Capita)
1,1.34951,Switzerland,Western Europe,0.03411,7.587,0.29678,0.94143,0.41978,0.66557,2.51738,1.39651
2,1.40223,Iceland,Western Europe,0.04884,7.561,0.4363,0.94784,0.14145,0.62877,2.70201,1.30232
3,1.36058,Denmark,Western Europe,0.03328,7.527,0.34139,0.87464,0.48357,0.64938,2.49204,1.32548
4,1.33095,Norway,Western Europe,0.0388,7.522,0.34699,0.88521,0.36503,0.66973,2.46531,1.459
5,1.32261,Canada,North America,0.03553,7.427,0.45811,0.90563,0.32957,0.63297,2.45176,1.32629
6,1.31826,Finland,Western Europe,0.0314,7.406,0.23351,0.88911,0.41372,0.64169,2.61955,1.29025
7,1.28017,Netherlands,Western Europe,0.02799,7.378,0.4761,0.89284,0.31814,0.61576,2.4657,1.32944
8,1.28907,Sweden,Western Europe,0.03157,7.364,0.36262,0.91087,0.43844,0.6598,2.37119,1.33171
9,1.31967,New Zealand,Australia and New Zealand,0.03371,7.286,0.47501,0.90837,0.42922,0.63938,2.26425,1.25018
10,1.30923,Australia,Australia and New Zealand,0.04083,7.284,0.43562,0.93156,0.35637,0.65124,2.26646,1.33358
11,1.22393,Israel,Middle East and Northern Africa,0.0347,7.278,0.33172,0.91387,0.07785,0.41319,3.08854,1.22857
12,1.23788,Costa Rica,Latin America and Caribbean,0.04454,7.226,0.25497,0.86027,0.10583,0.63376,3.17728,0.95578
13,1.29704,Austria,Western Europe,0.03751,7.2,0.33088,0.89042,0.18676,0.62433,2.5332,1.33723
14,0.91451,Mexico,Latin America and Caribbean,0.04176,7.187,0.14074,0.81444,0.21312,0.48181,3.60214,1.02054
15,1.24711,United States,North America,0.03839,7.119,0.40105,0.86179,0.1589,0.54604,2.51011,1.39451
16,1.23287,Brazil,Latin America and Caribbean,0.04076,6.983,0.14574,0.69702,0.17521,0.49049,3.26001,0.98124
17,1.21963,Luxembourg,Western Europe,0.03499,6.946,0.28034,0.91894,0.37798,0.61583,1.96961,1.56391
18,1.36948,Ireland,Western Europe,0.03676,6.94,0.45901,0.89533,0.28703,0.61777,1.9757,1.33596
19,1.28566,Belgium,Western Europe,0.03595,6.937,0.2225,0.89667,0.2254,0.5845,2.41484,1.30782
20,1.12575,United Arab Emirates,Middle East and Northern Africa,0.03729,6.901,0.26428,0.80925,0.38583,0.64157,2.24743,1.42727
21,1.28548,United Kingdom,Western Europe,0.01866,6.867,0.51912,0.90943,0.32067,0.59625,1.96994,1.26637
23,1.25596,Venezuela,Latin America and Caribbean,0.06476,6.81,0.05841,0.72052,0.11069,0.42908,3.19131,1.04424
24,1.02,Singapore,Southeastern Asia,0.0378,6.798,0.31105,1.02525,0.4921,0.54252,1.88501,1.52186
25,1.1985,Panama,Latin America and Caribbean,0.0491,6.786,0.24434,0.79661,0.0927,0.5421,2.84848,1.06353
26,1.29937,Germany,Western Europe,0.01848,6.75,0.28214,0.89186,0.21843,0.61477,2.11569,1.32792
27,1.12447,Chile,Latin America and Caribbean,0.058,6.67,0.33363,0.85857,0.12869,0.44132,2.67585,1.10715
28,1.0786,Qatar,Middle East and Northern Africa,0.06257,6.611,0.32573,0.79733,0.52208,0.6404,1.55674,1.69042
29,1.26038,France,Western Europe,0.03512,6.575,0.12332,0.94579,0.20646,0.55011,2.21126,1.27778
30,1.24823,Argentina,Latin America and Caribbean,0.04612,6.574,0.11451,0.78723,0.08484,0.44974,2.836,1.05351
31,1.20643,Czech Republic,Central and Eastern Europe,0.04168,6.505,0.10686,0.84483,0.02652,0.46364,2.67782,1.17898
32,1.2089,Uruguay,Latin America and Caribbean,0.04539,6.485,0.2324,0.8116,0.24558,0.60362,2.32142,1.06166
33,1.24018,Colombia,Latin America and Caribbean,0.05051,6.477,0.18401,0.69077,0.0512,0.53466,2.85737,0.91861
