Happiness Rank,Family,Country,Region,Happiness Score,Dystopia Residual,Generosity,Health (Life Expectancy),Trust (Government Corruption),Upper Confidence Interval,Freedom,Lower Confidence Interval,Economy (GDP per Capita)
1,1.16374,Denmark,Western Europe,7.526,2.73939,0.36171,0.79504,0.44453,7.592,0.57941,7.46,1.44178
2,1.14524,Switzerland,Western Europe,7.509,2.69463,0.28083,0.86303,0.41203,7.59,0.58557,7.428,1.52733
3,1.18326,Iceland,Western Europe,7.501,2.83137,0.47678,0.86733,0.14975,7.669,0.56624,7.333,1.42666
4,1.1269,Norway,Western Europe,7.498,2.66465,0.37895,0.79579,0.35776,7.575,0.59609,7.421,1.57744
5,1.13464,Finland,Western Europe,7.413,2.82596,0.25492,0.81091,0.41004,7.475,0.57104,7.351,1.40598
6,1.0961,Canada,North America,7.404,2.70485,0.44834,0.8276,0.31329,7.473,0.5737,7.335,1.44015
7,1.02912,Netherlands,Western Europe,7.339,2.70749,0.47416,0.81231,0.29927,7.394,0.55211,7.284,1.46468
8,1.17278,New Zealand,Australia and New Zealand,7.334,2.47553,0.49401,0.83096,0.41904,7.404,0.58147,7.264,1.36066
9,1.10476,Australia,Australia and New Zealand,7.313,2.5465,0.47407,0.8512,0.32331,7.385,0.56837,7.241,1.44443
10,1.08764,Sweden,Western Europe,7.291,2.54734,0.38254,0.83121,0.40867,7.355,0.58218,7.227,1.45181
11,0.99537,Israel,Middle East and Northern Africa,7.267,3.31029,0.32288,0.84917,0.08728,7.335,0.36432,7.199,1.33766
12,1.08383,Austria,Western Europe,7.119,2.69343,0.32865,0.80565,0.21348,7.193,0.54355,7.045,1.45038
13,1.04782,United States,North America,7.104,2.72782,0.41077,0.779,0.14868,7.188,0.48163,7.02,1.50796
14,1.02152,Costa Rica,Latin America and Caribbean,7.087,3.35168,0.22553,0.76146,0.10547,7.175,0.55225,6.999,1.06879
16,1.09774,Germany,Western Europe,6.994,2.50931,0.30452,0.81487,0.28551,7.058,0.53466,6.93,1.44787
17,1.03938,Brazil,Latin America and Caribbean,6.952,3.50733,0.15776,0.61415,0.14166,7.029,0.40425,6.875,1.08754
18,1.05249,Belgium,Western Europe,6.929,2.61355,0.2424,0.81959,0.26248,6.997,0.51354,6.861,1.42539
