"","score2015","score2016","score2017","net_change","Country"
"1",3.575,3.36,3.36,-0.215,"Afghanistan"
"2",4.959,4.655,4.655,-0.303999999999999,"Albania"
"3",5.605,6.355,6.355,0.75,"Algeria"
"4",4.033,3.866,3.866,-0.167,"Angola"
"5",6.574,6.65,6.65,0.0760000000000005,"Argentina"
"6",4.35,4.36,4.36,0.0100000000000007,"Armenia"
"7",7.284,7.313,7.313,0.0289999999999999,"Australia"
"8",7.2,7.119,7.119,-0.0810000000000004,"Austria"
"9",5.212,5.291,5.291,0.0790000000000006,"Azerbaijan"
"10",5.96,6.218,6.218,0.258,"Bahrain"
"11",4.694,4.643,4.643,-0.0510000000000002,"Bangladesh"
"12",5.813,5.802,5.802,-0.0110000000000001,"Belarus"
"13",6.937,6.929,6.929,-0.00800000000000001,"Belgium"
"14",3.34,3.484,3.484,0.144,"Benin"
"15",5.253,5.196,5.196,-0.0570000000000004,"Bhutan"
"16",5.89,5.822,5.822,-0.0679999999999996,"Bolivia"
"17",4.949,5.163,5.163,0.214,"Bosnia and Herzegovina"
"18",4.332,3.974,3.974,-0.358,"Botswana"
"19",6.983,6.952,6.952,-0.0309999999999997,"Brazil"
"20",4.218,4.217,4.217,-0.00100000000000033,"Bulgaria"
"21",3.587,3.739,3.739,0.152,"Burkina Faso"
"22",2.905,2.905,2.905,0,"Burundi"
"23",3.819,3.907,3.907,0.0880000000000001,"Cambodia"
"24",4.252,4.513,4.513,0.261,"Cameroon"
"25",7.427,7.404,7.404,-0.0229999999999997,"Canada"
"26",3.667,3.763,3.763,0.0960000000000001,"Chad"
"27",6.67,6.705,6.705,0.0350000000000001,"Chile"
"28",5.14,5.245,5.245,0.105,"China"
"29",6.477,6.481,6.481,0.00399999999999956,"Colombia"
"30",3.956,3.956,3.956,0,"Comoros"
"31",3.989,4.236,4.236,0.247,"Congo (Brazzaville)"
"32",4.517,4.272,4.272,-0.245,"Congo (Kinshasa)"
"33",7.226,7.087,7.087,-0.139,"Costa Rica"
"34",5.759,5.488,5.488,-0.271,"Croatia"
"35",5.689,5.546,5.546,-0.143,"Cyprus"
"36",6.505,6.596,6.596,0.0910000000000002,"Czech Republic"
"37",7.527,7.526,7.526,-0.00100000000000033,"Denmark"
"38",4.885,5.155,5.155,0.27,"Dominican Republic"
"39",5.975,5.976,5.976,0.00100000000000033,"Ecuador"
"40",4.194,4.362,4.362,0.168,"Egypt"
"41",6.13,6.068,6.068,-0.0620000000000003,"El Salvador"
"42",5.429,5.517,5.517,0.0880000000000001,"Estonia"
"43",4.512,4.508,4.508,-0.00399999999999956,"Ethiopia"
"44",7.406,7.413,7.413,0.00700000000000056,"Finland"
"45",6.575,6.478,6.478,-0.0970000000000004,"France"
"46",3.896,4.121,4.121,0.225000000000001,"Gabon"
"47",4.297,4.252,4.252,-0.0449999999999999,"Georgia"
"48",6.75,6.994,6.994,0.244,"Germany"
"49",4.633,4.276,4.276,-0.357,"Ghana"
"50",4.857,5.033,5.033,0.176,"Greece"
"51",6.123,6.324,6.324,0.201,"Guatemala"
"52",3.656,3.607,3.607,-0.0489999999999999,"Guinea"
"53",4.518,4.028,4.028,-0.49,"Haiti"
"54",4.788,4.871,4.871,0.0830000000000002,"Honduras"
"55",5.474,5.458,5.458,-0.016,"Hong Kong"
"56",4.8,5.145,5.145,0.345,"Hungary"
"57",7.561,7.501,7.501,-0.0599999999999996,"Iceland"
"58",4.565,4.404,4.404,-0.161,"India"
"59",5.399,5.314,5.314,-0.085,"Indonesia"
"60",4.686,4.813,4.813,0.127,"Iran"
"61",4.677,4.575,4.575,-0.101999999999999,"Iraq"
"62",6.94,6.907,6.907,-0.0330000000000004,"Ireland"
"63",7.278,7.267,7.267,-0.0109999999999992,"Israel"
